JAPANESE,ENGLISH
watashi,I
anata,you
kore,this
sore,that
are,that (over there)
kudasai,please
arigatou,thank you
hai,yes
iie,no
gomen nasai,sorry
sumimasen,excuse me
namae,name
tomodachi,friend
oishii,delicious
tabemasu,to eat
nomimasu,to drink
suki,like
kirai,dislike
doko,where
itsu,when
nani,what
dare,who
ikura,how much
nan desu ka,what is it?
desu,is/am/are
ka,question marker
ne,right? (used for seeking agreement)
yo,emphasis marker
wa,topic marker
ga,subject marker
eiga,movie
ongaku,music
asa,morning
hiru,noon
yoru,night
ohayou gozaimasu,good morning
konnichiwa,hello/afternoon
konbanwa,good evening
ashita,tomorrow
kinou,yesterday
ima,now
nanika,something
nandemo,anything
dokodemo,anywhere
itsumo,always
totemo,very
ame,rain
kaze,wind
hana,flower
ki,tree
inu,dog
neko,cat
uchi,home
ie,house
kuruma,car
basu,bus
densha,train
hikouki,airplane
onaka,stomach
kawa,river
umi,sea
sora,sky
hikari,light
yama,mountain
kawaiku,cute
kowai,scary
samui,cold
atsui,hot
tsumetai,cold (to the touch)
ookii,big
chiisai,small
nagai,long
mijikai,short
hayai,fast
osoi,slow
takai,high
hikui,low
shizuka,quiet
urusai,noisy
kirei,beautiful
kitanai,dirty
jouzu,skillful
heta,unskilled
tanoshii,fun
tsumaranai,boring
omoshiroi,interesting
taihen,difficult
yasashii,easy
benri,convenient
fuben,inconvenient
genki,lively/energetic
yoi,good
warui,bad
byouki,sick
kawaii,cute
kowakunai,not scared
onaji,same
chigau,different
suki,love
kirai,hate